,selling_price
0,450000
1,370000
2,158000
3,225000
4,130000
5,440000
6,350000
7,500000
8,92000
9,280000
10,180000
11,400000
12,778000
13,500000
14,150000
15,680000
16,174000
17,950000
18,525000
19,600000
20,500000
21,575000
22,275000
23,300000
24,220000
25,254999
26,670000
27,150000
28,650000
29,330000
30,366000
31,150000
32,425000
33,150000
34,925000
35,425000
36,675000
37,819999
38,390000
39,700000
40,425000
41,1090000
42,600000
43,850000
44,525000
45,950000
46,265000
47,190000
48,425000
49,630000
50,600000
51,650000
52,540000
53,630000
54,448000
55,500000
56,745000
57,235000
58,630000
59,450000
60,450000
61,610000
62,484999
63,275000
64,315000
65,275000
66,290000
67,280000
68,225000
69,455000
70,351000
71,535000
72,175000
73,525000
74,600000
75,565000
76,120000
77,725000
78,185000
79,200000
80,615000
81,270000
82,610000
83,625000
84,866000
85,700000
86,300000
87,375000
88,522000
89,451999
90,300000
91,475000
92,780000
93,595000
94,440000
95,400000
96,1140000
97,850000
98,350000
99,360000
100,105000
101,625000
102,135000
103,700000
104,795000
105,625000
106,535000
107,975000
108,805000
109,811000
110,375000
111,550000
112,645000
113,599000
114,875000
115,175000
116,340000
117,450000
118,850000
119,300000
120,160000
121,515000
122,390000
123,550000
124,220000
125,425000
126,480000
127,400000
128,487000
129,386000
130,100000
131,300000
132,100000
133,450000
134,490000
135,345000
136,215000
137,320000
138,459999
139,800000
140,520000
141,580000
142,600000
143,290000
144,360000
145,550000
146,375000
147,420000
148,550000
149,270000
150,500000
151,320000
152,700000
153,290000
154,550000
155,265000
156,800000
157,160000
158,335000
159,329000
160,775000
161,524000
162,245000
163,275000
164,520000
165,550000
166,910000
167,300000
168,350000
169,900000
170,300000
171,250000
172,1100000
173,270000
174,640000
175,650000
176,409999
177,165000
178,535000
179,700000
180,550000
181,680000
182,200000
183,500000
184,1000000
185,110000
186,320000
187,350000
188,800000
189,500000
190,530000
191,310000
192,725000
193,340000
194,380000
195,350000
196,525000
197,480000
198,780000
199,375000
200,300000
201,500000
202,404000
203,500000
204,350000
205,380000
206,114999
207,335000
208,465000
209,290000
210,110000
211,450000
212,220000
213,450000
214,290000
215,520000
216,265000
217,330000
218,509999
219,500000
220,525000
221,675000
222,300000
223,90000
224,650000
225,409000
226,395000
227,400000
228,120000
229,645000
230,535000
231,555000
232,725000
233,229999
234,409999
235,400000
236,520000
237,650000
238,325000
239,420000
240,400000
241,254999
242,351000
243,404000
244,250000
245,500000
246,265000
247,480000
248,170000
249,275000
250,89000
251,170000
252,1090000
253,1100000
254,610000
255,335000
256,434999
257,390000
258,325000
259,640000
260,400000
261,215000
262,570000
263,680000
264,325000
265,150000
266,690000
267,250000
268,550000
269,140000
270,300000
271,800000
272,503000
273,225000
274,740000
275,550000
276,750000
277,625000
278,600000
279,450000
280,150000
281,500000
282,480000
283,535000
284,300000
285,240000
286,750000
287,409999
288,215000
289,150000
290,219000
291,325000
292,260000
293,700000
294,950000
295,160000
296,409999
297,840000
298,450000
299,900000
300,570000
301,254999
302,130000
303,530000
304,520000
305,600000
306,409999
307,120000
308,320000
309,292000
310,390000
311,550000
312,385000
313,800000
314,675000
315,950000
316,610000
317,525000
318,375000
319,580000
320,434999
321,600000
322,1050000
323,735000
324,1050000
325,420000
326,800000
327,600000
328,500000
329,200000
330,370000
331,260000
332,280000
333,610000
334,300000
335,140000
336,229999
337,200000
338,200000
339,560000
340,750000
341,585000
342,760000
343,430000
344,480000
345,643000
346,500000
347,425000
348,250000
349,285000
350,160000
351,250000
352,170000
353,409999
354,400000
355,700000
356,350000
357,660000
358,268000
359,270000
360,300000
361,450000
362,220000
363,250000
364,300000
365,561000
366,755000
367,235000
368,165000
369,190000
370,110000
371,320000
372,540000
373,180000
374,450000
375,450000
376,200000
377,425000
378,400000
379,125000
380,900000
381,450000
382,210000
383,801000
384,317000
385,600000
386,330000
387,320000
388,120000
389,130000
390,220000
391,340000
392,200000
393,140000
394,495000
395,236000
396,390000
397,275000
398,775000
399,850000
400,570000
401,580000
402,484999
403,700000
404,415000
405,325000
406,550000
407,300000
408,217000
409,700000
410,466000
411,484999
412,670000
413,500000
414,675000
415,220000
416,630000
417,250000
418,120000
419,300000
420,525000
421,1100000
422,480000
423,605000
424,250000
425,245000
426,210000
427,500000
428,400000
429,280000
430,375000
431,700000
432,375000
433,270000
434,300000
435,225000
436,200000
437,500000
438,500000
439,555000
440,580000
441,337000
442,175000
443,180000
444,200000
445,260000
446,350000
447,409999
448,655000
449,200000
450,800000
451,550000
452,300000
453,220000
454,196000
455,135000
456,299000
457,300000
458,720000
459,650000
460,300000
461,750000
462,260000
463,300000
464,600000
465,275000
466,250000
467,420000
468,235000
469,1100000
470,360000
471,380000
472,650000
473,350000
474,700000
475,270000
476,450000
477,630000
478,270000
479,135000
480,275000
481,235000
482,275000
483,700000
484,400000
485,215000
486,150000
487,950000
488,730000
489,135000
490,350000
491,535000
492,455000
493,655000
494,800000
495,1100000
496,340000
497,300000
498,370000
499,330000
500,238000
501,200000
502,320000
503,114999
504,320000
505,210000
506,200000
507,135000
508,350000
509,680000
510,300000
511,270000
512,225000
513,250000
514,590000
515,290000
516,395000
517,195000
518,270000
519,600000
520,715000
521,600000
522,875000
523,420000
524,325000
